feature,importance
current_vehicles,0.4600404222800144
vehicles_lag_15m,0.27534154103647507
rolling_1h_vehicles,0.09023938252682591
vehicles_lag_1h,0.03654235762875557
non_compliance_rate,0.032771011298552206
current_queue_length,0.02639811422686447
hour_float,0.019899016955080475
hour,0.015299416425170088
queue_lag_15m,0.0143202007328272
direction_inbound,0.003951507754594596
direction_outbound,0.0037779261348518576
taxi_ratio,0.0035191642361958315
is_weekend,0.0025442566948151537
is_school_day,0.0023414635705023916
minute,0.0017246980371455924
area_type_residential_feeder,0.0016297964046352613
lanes,0.0015616064098298728
corridor_Sandton,0.0014315539797906216
robot_failed,0.0012135711592721886
base_volume,0.000985375094383599
direction_cross_north_south,0.0009728537286429545
rolling_1h_queue,0.0008966139652474399
area_type_business_core,0.000643245328564628
direction_cross_east_west,0.0006142612398470133
day_of_week,0.0003720130419596814
intersection_id,0.0003293588025118637
load_shedding_stage,0.00032885678097022657
corridor_M1/CBD,0.00011964072695866586
corridor_Midrand/Pretoria,8.033658738122539e-05
area_type_commuter_corridor,7.881445864099218e-05
pointsman_available,2.5809456328010802e-05
special_event,5.754819538329617e-06
incident_flag,5.847682653582857e-08
